statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2025;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-09;Freizeit, Unterhaltung und Kultur;119,7;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2015;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-11;Gaststätten- und Beherbergungsdienstleistungen;90,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;97,7;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-02;Alkoholische Getränke und Tabakwaren;99,1;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2021;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-09;Freizeit, Unterhaltung und Kultur;103,5;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-07;Verkehr;121,8;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2016;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-08;Post und Telekommunikation;105,2;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-09;Freizeit, Unterhaltung und Kultur;99,5;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-08;Post und Telekommunikation;102,0;2020=100;PREIS1;Verbraucherpreisindex
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2019;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;CC13A2;Verwendungszwecke des Individualkonsums, 2-Steller;CC13-08;Post und Telekommunikation;102,6;2020=100;PREIS1;Verbraucherpreisindex
