statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21311;Statistik der Studenten;SEMEST;Semester;2019-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;34;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2022-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;32;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2021-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;176;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2018-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;476;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2024-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;19;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2016-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;246;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2016-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;54;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2023-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;30;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2019-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;207;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2022-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;194;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2023-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;264;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2017-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;237;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2023-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;54;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2018-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;30;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2020-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;35;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2021-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;180;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2019-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;213;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2022-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;353;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2015-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;450;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2024-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;109;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2019-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;173;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2021-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;34;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2021-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;216;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2022-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;61;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2015-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;;Insgesamt;GES;Geschlecht;GESM;männlich;BILSF1;Studienfach;SF005;Klassische Philologie;219;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2016-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;259;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2021-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;322;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2020-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;;Insgesamt;BILSF1;Studienfach;SF005;Klassische Philologie;366;Anzahl;BIL002;Studierende
21311;Statistik der Studenten;SEMEST;Semester;2018-10P6M;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILSF1;Studienfach;SF005;Klassische Philologie;216;Anzahl;BIL002;Studierende
