statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTK20;Grundsteuer B;12821056;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTG70;Einfuhrumsatzsteuer;50905411;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTK43;Jagd- und Fischereisteuer;10169;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTB80;Solidaritätszuschlag;11027563;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTG20;Veranlagte Einkommensteuer;63711135;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTB20;Tabaksteuer;14398831;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERNGEM10;Gemeinschaftsteuern;566941483;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTK10;Grundsteuer A;413135;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTK41;Sonstige Vergnügungsteuer;984686;Tsd. EUR;STEU01;Steuereinnahmen
71211;Statistik über das Steueraufkommen;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;START1;Steuerarten vor der Steuerverteilung;STEUERARTB20;Tabaksteuer;15637395;Tsd. EUR;STEU01;Steuereinnahmen
